1329566383 1 0 0
1329575481 2 0 0
1329575493 3 0 0
1329579771 3 1 0
1329587424 4 1 0
1329587493 5 1 0
1329589551 5 2 0
1329589903 5 3 0
1329591925 6 3 0
1329592153 7 3 0
1329592166 8 3 0
1329592312 9 3 0
1329592462 10 3 0
1329592638 10 4 0
1329592656 10 5 0
1329592906 10 6 0
1329593120 11 6 0
1329639545 12 6 0
1329644546 13 6 0
1329646910 14 6 0
1329648252 15 6 0
1329650329 16 6 0
1329650923 17 6 0
1329651048 18 6 0
1329651747 18 7 0
1329652041 19 7 0
1329652071 20 7 0
1329653053 21 7 0
1329655611 21 8 0
1329655656 21 9 0
1329657768 21 9 1
1329657773 21 9 2
1329658565 21 9 3
