1329566383 262 0 0
1329575481 274 0 0
1329575493 677 0 0
1329579771 677 91 0
1329587424 678 91 0
1329587493 1067 91 0
1329589551 1067 266 0
1329589903 1067 266 0
1329591925 1339 266 0
1329592153 1363 266 0
1329592166 1370 266 0
1329592312 1436 266 0
1329592462 1436 266 0
1329592638 1436 338 0
1329592656 1436 338 0
1329592906 1436 339 0
1329593120 1445 339 0
1329639545 1465 339 0
1329644546 1495 339 0
1329646910 1586 339 0
1329648252 2044 339 0
1329650329 2078 339 0
1329650923 2341 339 0
1329651048 2349 339 0
1329651747 2349 382 0
1329652041 2444 382 0
1329652071 2444 382 0
1329653053 2449 382 0
1329654539 2519 382 0
1329655129 2571 382 0
1329655611 2571 403 0
1329655656 2571 403 0
1329657768 2571 403 879
1329657773 2571 403 879
1329658565 2571 403 879
1329660603 2704 403 879
1329660728 2704 403 879
1329662029 2704 437 879
1329662283 2704 437 879
1329662995 2812 437 879
1329663017 2812 437 879
1329663143 2816 437 879
1329663365 2817 437 879
1329663391 2818 437 879
1329663411 2819 437 879
1329663595 2822 437 879
1329666465 2822 437 879
1329669696 2822 437 995
1329669701 2822 437 995
1329669797 2822 437 995
1329670193 2822 437 1080
1329670290 2822 437 1080
1329670514 2822 437 1115
1329671239 2822 437 1115
